tenor,base_pv,bumped_pv,dpv,bump_bp,swap_tenor_years,notional,dpv_dollars
0.5,-5.344942439444722e-05,-5.4488204746808155e-05,-1.0387803523609351e-06,1.0,2.0,10000000.0,-10.387803523609351
1.0,-5.344942439444722e-05,-5.344942439444722e-05,0.0,1.0,2.0,10000000.0,0.0
2.0,-5.344942439444722e-05,-0.0002461709084272956,-0.0001927214840328484,1.0,2.0,10000000.0,-1927.214840328484
3.0,-5.344942439444722e-05,-5.344942439444722e-05,0.0,1.0,2.0,10000000.0,0.0
5.0,-5.344942439444722e-05,-5.344942439444722e-05,0.0,1.0,2.0,10000000.0,0.0
7.0,-5.344942439444722e-05,-5.344942439444722e-05,0.0,1.0,2.0,10000000.0,0.0
10.0,-5.344942439444722e-05,-5.344942439444722e-05,0.0,1.0,2.0,10000000.0,0.0
0.5,-0.0014881235811169402,-0.0014892199434323183,-1.0963623153781299e-06,1.0,5.0,25000000.0,-27.409057884453247
1.0,-0.0014881235811169402,-0.0014881235811169402,0.0,1.0,5.0,25000000.0,0.0
2.0,-0.0014881235811169402,-0.0014975954830662719,-9.471901949331674e-06,1.0,5.0,25000000.0,-236.79754873329185
3.0,-0.0014881235811169402,-0.0014931809872934798,-5.057406176539603e-06,1.0,5.0,25000000.0,-126.43515441349007
5.0,-0.0014881235811169402,-0.001516629717238177,-2.850613612123687e-05,1.0,5.0,25000000.0,-712.6534030309217
7.0,-0.0014881235811169402,-0.0018964212282365778,-0.00040829764711963756,1.0,5.0,25000000.0,-10207.441177990939
10.0,-0.0014881235811169402,-0.0014881235811169402,0.0,1.0,5.0,25000000.0,0.0
0.5,0.005740091877741382,0.005739221244309367,-8.706334320152109e-07,1.0,7.0,15000000.0,-13.059501480228164
1.0,0.005740091877741382,0.005739204885748805,-8.869919925769132e-07,1.0,7.0,15000000.0,-13.304879888653698
2.0,0.005740091877741382,0.005731795217538527,-8.296660202855577e-06,1.0,7.0,15000000.0,-124.44990304283365
3.0,0.005740091877741382,0.005732105597470338,-7.986280271043977e-06,1.0,7.0,15000000.0,-119.79420406565966
5.0,0.005740091877741382,0.005709243105788131,-3.084877195325131e-05,1.0,7.0,15000000.0,-462.73157929876965
7.0,0.005740091877741382,0.005697279442271996,-4.2812435469385957e-05,1.0,7.0,15000000.0,-642.1865320407893
10.0,0.005740091877741382,0.005228754295938276,-0.0005113375818031063,1.0,7.0,15000000.0,-7670.063727046594
